Trump	Clinton	Margin	Count	FIPS
4201	1732	0.416146975	Alcona	26001
2585	1663	0.217043315	Alger	26003
34183	18050	0.308866043	Allegan	26005
9090	4877	0.301639579	Alpena	26007
8469	4448	0.311295192	Antrim	26009
4950	2384	0.349877284	Arenac	26011
2158	1156	0.302353651	Baraga	26013
19202	9114	0.356265009	Barry	26015
28328	21642	0.13380028	Bay	26017
5539	4108	0.14833627	Benzie	26019
38647	29495	0.134307769	Berrien	26021
11786	5061	0.399180863	Branch	26023
31494	24157	0.1318395	Calhoun	26025
14243	7270	0.324129596	Cass	26027
8674	5137	0.25610021	Charlevoix	26029
8683	4302	0.337389295	Cheboygan	26031
9122	5379	0.25812013	Chippewa	26033
8505	4249	0.333699232	Clare	26035
21636	16492	0.134913974	Clinton	26037
4354	2110	0.347153465	Crawford	26039
11121	6436	0.266845133	Delta	26041
8580	3923	0.372470607	Dickinson	26043
27609	24938	0.050830685	Eaton	26045
10616	6972	0.207186718	Emmet	26047
84175	102751	-0.099376224	Genesee	26049
8124	3794	0.363315993	Gladwin	26051
4018	2925	0.157424744	Gogebic	26053
27413	20965	0.133283724	Grand Traverse	26055
9880	5666	0.271066512	Gratiot	26057
14095	4799	0.492008045	Hillsdale	26059
8475	6018	0.169530118	Houghton	26061
10692	4579	0.400301225	Huron	26063
43868	79110	-0.286571582	Ingham	26065
16635	8352	0.331492376	Ionia	26067
8345	4345	0.315208826	Iosco	26069
3675	2004	0.294241944	Iron	26071
12338	11404	0.039339567	Isabella	26073
39793	25795	0.213423187	Jackson	26075
51034	67148	-0.136349021	Kalamazoo	26077
6116	2280	0.456884231	Kalkaska	26079
148180	138683	0.033106396	Kent	26081
814	527	0.214019389	Keweenaw	26083
3159	1939	0.239309533	Lake	26085
30037	12734	0.404549812	Lapeer	26087
7239	6774	0.033183472	Leelanau	26089
26430	16750	0.22417786	Lenawee	26091
65680	34384	0.312759834	Livingston	26093
1756	681	0.441116126	Luce	26095
3744	2085	0.284611426	Mackinac	26097
224665	176317	0.120573991	Macomb	26099
6915	4979	0.162771145	Manistee	26101
14646	16042	-0.045490094	Marquette	26103
8505	5281	0.233860438	Mason	26105
10305	5827	0.277584924	Mecosta	26107
6702	3539	0.308856557	Menominee	26109
23846	15635	0.207973456	Midland	26111
5386	1565	0.549705078	Missaukee	26113
43261	26863	0.233842907	Monroe	26115
16907	7874	0.364513135	Montcalm	26117
3498	1287	0.462068966	Montmorency	26119
36127	37304	-0.016028653	Muskegon	26121
15173	6212	0.419032032	Newaygo	26123
289203	343070	-0.085195794	Oakland	26125
7228	3973	0.290599054	Oceana	26127
6827	3030	0.385208481	Ogemaw	26129
2066	1176	0.2745219	Ontonagon	26131
7336	2705	0.461209043	Osceola	26133
2843	1044	0.462824801	Oscoda	26135
8266	3556	0.398409745	Otsego	26137
88467	44973	0.325944245	Ottawa	26139
4488	2400	0.303135889	Presque Isle	26141
8141	4287	0.310106212	Roscommon	26143
45469	44396	0.011940132	Saginaw	26145
49051	24553	0.332835172	St. Clair	26147
14884	7526	0.328335564	St. Joseph	26149
13446	4873	0.46798406	Sanilac	26151
2556	1369	0.302420382	Schoolcraft	26153
19230	12546	0.210347432	Shiawassee	26155
17102	7429	0.394317394	Tuscola	26157
17890	13258	0.148709387	Van Buren	26159
50631	128483	-0.434650558	Washtenaw	26161
228993	519444	-0.388076752	Wayne	26163
10000	4436	0.385425326	Wexford	26165
