FIPS,County,Trump,Harris,trumpMargin,Medicaid_12_24
55001,Adams,"7,763","4,443",27.19973783,4470
55003,Ashland,"4,191","4,612",-4.782460525,494
55005,Barron,"16,726","8,941",30.33077493,10715
55007,Bayfield,"4,860","6,107",-11.37047506,323
55009,Brown,"79,132","67,937",7.612073245,52960
55011,Buffalo,"5,213","2,765",30.68438205,200
55013,Burnett,"7,008","3,665",31.32202755,2199
55015,Calumet,"19,488","12,927",20.24062934,5989
55017,Chippewa,"23,399","14,573",23.24344254,10443
55019,Clark,"10,481","4,509",39.83989326,637
55021,Columbia,"17,988","16,388",4.654410054,4786
55023,Crawford,"5,113","3,860",13.96411457,3527
55025,Dane,"85,454","273,995",-52.4527819,92164
55027,Dodge,"33,067","16,518",33.3750126,11573
55029,Door,"10,099","10,565",-2.255129694,4453
55031,Douglas,"11,732","13,073",-5.406168111,10308
55033,Dunn,"14,726","10,643",16.09444598,9255
55035,Eau Claire,"27,728","34,400",-10.73911924,29330
55037,Florence,"2,356",783,50.11150048,75
55039,Fond du Lac,"37,272","20,495",29.04253293,18403
55041,Forest,"3,382","1,681",33.59668181,279
55043,Grant,"15,922","10,966",18.43201428,9122
55045,Green,"10,843","10,903",-0.275912812,5887
55047,Green Lake,"7,458","3,449",36.75621161,3648
55049,Iowa,"6,631","7,750",-7.781100063,3667
55051,Iron,"2,557","1,487",26.45895153,130
55053,Jackson,"6,204","4,157",19.75678023,616
55055,Jefferson,"28,771","20,574",16.61161212,13888
55057,Juneau,"9,525","4,854",32.48487377,3631
55059,Kenosha,"47,478","41,826",6.328943832,37091
55061,Kewaunee,"8,267","4,059",34.13921791,3001
55063,La Crosse,"32,247","39,008",-9.48845695,53016
55065,Lafayette,"5,256","3,469",20.48137536,3022
55067,Langlade,"7,782","3,746",35.01040944,601
55069,Lincoln,"10,633","6,306",25.54460122,622
55071,Manitowoc,"28,200","17,399",23.68692296,14710
55073,Marathon,"46,213","31,529",18.88811711,46733
55075,Marinette,"16,670","7,415",38.42640648,9863
55077,Marquette,"6,041","3,252",30.01183687,3144
55078,Menominee,296,"1,266",-62.09987196,2967
55079,Milwaukee,"138,022","316,292",-39.23938069,341146
55081,Monroe,"14,563","8,476",26.42041755,1121
55083,Oconto,"17,675","6,967",43.45426508,6975
55085,Oneida,"14,455","10,080",17.83166904,809
55087,Outagamie,"60,827","49,438",10.32875346,29936
55089,Ozaukee,"34,504","27,874",10.62874731,8087
55091,Pepin,"2,798","1,523",29.50705855,112
55093,Pierce,"14,417","10,171",17.2685863,4393
55095,Polk,"18,296","9,567",31.32828482,6747
55097,Portage,"20,987","21,503",-1.214403389,2492
55099,Price,"5,763","3,005",31.45529197,338
55101,Racine,"56,347","49,721",6.246935928,47789
55103,Richland,"5,207","3,985",13.29416884,11628
55105,Rock,"40,218","46,642",-7.395809348,39679
55107,Rusk,"5,660","2,516",38.45401174,419
55109,St. Croix,"18,798","18,172",1.693264809,9699
55111,Sauk,"6,422","4,599",16.54114872,11007
55113,Sawyer,"15,850","7,336",36.72043475,366
55115,Shawano,"38,763","27,735",16.58395741,8725
55117,Sheboygan,"35,537","23,870",19.63909977,16117
55119,Taylor,"8,209","2,823",48.82160986,317
55121,Trempealeau,"9,661","6,219",21.67506297,534
55123,Vernon,"8,807","7,514",7.922308682,589
55125,Vilas,"9,837","6,119",23.30157934,503
55127,Walworth,"36,603","23,161",22.49180108,17841
55129,Washburn,"6,962","3,867",28.58066303,3366
55131,Washington,"61,604","28,504",36.73369734,15054
55133,Waukesha,"162,768","108,478",20.0150417,38307
55135,Waupaca,"20,093","9,947",33.77496671,9964
55137,Waushara,"9,625","4,571",35.60157791,5077
55139,Winnebago,"49,179","44,660",4.815694967,32130
55141,Wood,"24,997","16,599",20.18944129,50600
